datetime,open,high,low,close,volume,Volume MA
2011-06-01 19:00:00,74.678,74.941,74.65,74.846,,
2011-06-01 23:00:00,74.817,74.892,74.764,74.797,,
2011-06-02 03:00:00,74.798,74.835,74.702,74.724,,
2011-06-02 07:00:00,74.733,74.759,74.29,74.345,,
2011-06-02 11:00:00,74.347,74.544,74.326,74.523,,
2011-06-02 15:00:00,74.526,74.666,74.228,74.333,,
2011-06-02 19:00:00,74.332,74.358,74.284,74.338,,
2011-06-02 23:00:00,74.351,74.36,74.21,74.333,,
2011-06-03 03:00:00,74.33,74.41,74.289,74.329,,
2011-06-03 07:00:00,74.331,74.421,74.27,74.334,,
2011-06-03 11:00:00,74.329,74.459,73.99,74.037,,
2011-06-03 15:00:00,74.036,74.04,73.702,73.783,,
2011-06-03 19:00:00,73.781,73.799,73.698,73.783,,
2011-06-05 21:00:00,73.828,73.83,73.64,73.65,,
2011-06-06 01:00:00,73.643,73.767,73.643,73.745,,
2011-06-06 05:00:00,73.746,73.83,73.68,73.764,,
2011-06-06 09:00:00,73.761,73.918,73.697,73.864,,
2011-06-06 13:00:00,73.862,73.942,73.787,73.895,,
2011-06-06 17:00:00,73.892,74.049,73.877,73.977,,
2011-06-06 21:00:00,73.98,73.989,73.944,73.972,,
2011-06-06 23:00:00,73.948,74.041,73.894,73.965,,
2011-06-07 03:00:00,73.966,73.994,73.728,73.735,,
2011-06-07 07:00:00,73.742,73.779,73.575,73.619,,
2011-06-07 11:00:00,73.619,73.704,73.532,73.575,,
2011-06-07 15:00:00,73.573,73.651,73.513,73.521,,
2011-06-07 19:00:00,73.514,73.579,73.506,73.546,,
2011-06-07 23:00:00,73.566,73.715,73.546,73.67,,
2011-06-08 03:00:00,73.676,73.676,73.543,73.593,,
2011-06-08 07:00:00,73.598,73.81,73.566,73.783,,
2011-06-08 11:00:00,73.79,73.874,73.703,73.842,,
2011-06-08 15:00:00,73.846,73.966,73.773,73.93,,
2011-06-08 19:00:00,73.929,73.97,73.872,73.875,,
2011-06-08 23:00:00,73.878,73.888,73.765,73.791,,
2011-06-09 03:00:00,73.795,73.852,73.765,73.792,,
2011-06-09 07:00:00,73.786,73.931,73.692,73.899,,
2011-06-09 11:00:00,73.901,74.297,73.709,74.176,,
2011-06-09 15:00:00,74.181,74.23,74.045,74.187,,
2011-06-09 19:00:00,74.193,74.21,74.126,74.162,,
2011-06-09 23:00:00,74.179,74.19,74.024,74.089,,
2011-06-10 03:00:00,74.096,74.367,74.055,74.252,,
2011-06-10 07:00:00,74.253,74.448,74.243,74.386,,
2011-06-10 11:00:00,74.382,74.778,74.253,74.778,,
2011-06-10 15:00:00,74.775,74.918,74.706,74.795,,
2011-06-10 19:00:00,74.797,74.897,74.786,74.834,,
2011-06-12 21:00:00,74.91,74.933,74.796,74.816,,
2011-06-13 01:00:00,74.816,74.96,74.81,74.872,,
2011-06-13 05:00:00,74.872,74.9,74.73,74.851,,
2011-06-13 09:00:00,74.85,74.891,74.616,74.666,,
2011-06-13 13:00:00,74.659,74.765,74.557,74.727,,
2011-06-13 17:00:00,74.729,74.789,74.441,74.506,,
2011-06-13 21:00:00,74.505,74.514,74.436,74.448,,
2011-06-13 23:00:00,74.518,74.626,74.431,74.439,,
2011-06-14 03:00:00,74.427,74.476,74.367,74.435,,
2011-06-14 07:00:00,74.434,74.453,74.272,74.41,,
2011-06-14 11:00:00,74.418,74.527,74.248,74.293,,
2011-06-14 15:00:00,74.292,74.353,74.228,74.332,,
2011-06-14 19:00:00,74.333,74.459,74.325,74.423,,
2011-06-14 23:00:00,74.423,74.553,74.423,74.529,,
2011-06-15 03:00:00,74.534,74.702,74.479,74.655,,
2011-06-15 07:00:00,74.661,75.025,74.652,75.017,,
2011-06-15 11:00:00,75.016,75.186,74.919,75.028,,
2011-06-15 15:00:00,75.033,75.659,75.03,75.601,,
2011-06-15 19:00:00,75.605,75.639,75.517,75.575,,
2011-06-15 23:00:00,75.526,75.608,75.447,75.503,,
2011-06-16 03:00:00,75.499,75.886,75.457,75.668,,
2011-06-16 07:00:00,75.671,75.938,75.588,75.804,,
2011-06-16 11:00:00,75.809,76.015,75.571,75.699,,
2011-06-16 15:00:00,75.705,75.79,75.515,75.752,,
2011-06-16 19:00:00,75.749,75.752,75.375,75.419,,
2011-06-16 23:00:00,75.447,75.603,75.399,75.571,,
2011-06-17 03:00:00,75.572,75.752,75.527,75.573,,
2011-06-17 07:00:00,75.577,75.751,75.101,75.109,,
2011-06-17 11:00:00,75.106,75.243,74.991,75.015,,
2011-06-17 15:00:00,75.018,75.135,74.893,74.988,,
2011-06-17 19:00:00,74.983,75.128,74.954,74.988,,
2011-06-19 21:00:00,75.143,75.224,75.069,75.182,,
2011-06-20 01:00:00,75.183,75.371,75.101,75.343,,
2011-06-20 05:00:00,75.353,75.472,75.282,75.327,,
2011-06-20 09:00:00,75.33,75.393,75.134,75.179,,
2011-06-20 13:00:00,75.182,75.182,74.902,75.028,,
2011-06-20 17:00:00,75.027,75.087,74.969,75.024,,
2011-06-20 21:00:00,75.02,75.035,74.959,74.991,,
2011-06-20 23:00:00,74.903,74.992,74.708,74.901,,
2011-06-21 03:00:00,74.909,74.937,74.724,74.79,,
2011-06-21 07:00:00,74.785,74.985,74.74,74.798,,
2011-06-21 11:00:00,74.79,74.849,74.652,74.723,,
2011-06-21 15:00:00,74.728,74.728,74.52,74.541,,
2011-06-21 19:00:00,74.54,74.75,74.516,74.647,,
2011-06-21 23:00:00,74.728,74.839,74.658,74.741,,
2011-06-22 03:00:00,74.742,74.773,74.545,74.58,,
2011-06-22 07:00:00,74.585,74.866,74.572,74.808,,
2011-06-22 11:00:00,74.801,74.82,74.497,74.531,,
2011-06-22 15:00:00,74.53,74.822,74.502,74.783,,
2011-06-22 19:00:00,74.782,75.038,74.758,75.031,,
2011-06-22 23:00:00,75.026,75.17,74.958,75.057,,
2011-06-23 03:00:00,75.058,75.141,75.014,75.071,,
2011-06-23 07:00:00,75.07,75.425,75.066,75.396,,
2011-06-23 11:00:00,75.403,75.795,75.347,75.691,,
2011-06-23 15:00:00,75.693,75.764,75.443,75.447,,
2011-06-23 19:00:00,75.451,75.499,75.196,75.212,,
2011-06-23 23:00:00,75.214,75.378,75.209,75.295,,
2011-06-24 03:00:00,75.292,75.395,75.222,75.362,,
2011-06-24 07:00:00,75.356,75.54,75.049,75.44,,
2011-06-24 11:00:00,75.43,75.674,75.279,75.655,,
2011-06-24 15:00:00,75.646,75.751,75.49,75.665,,
2011-06-24 19:00:00,75.652,75.706,75.578,75.583,,
2011-06-26 21:00:00,75.556,75.987,75.544,75.921,,
2011-06-27 01:00:00,75.925,75.953,75.834,75.907,,
2011-06-27 05:00:00,75.904,75.938,75.65,75.662,,
2011-06-27 09:00:00,75.665,75.687,75.434,75.687,,
2011-06-27 13:00:00,75.688,75.764,75.261,75.415,,
2011-06-27 17:00:00,75.409,75.444,75.294,75.295,,
2011-06-27 21:00:00,75.296,75.326,75.257,75.284,,
2011-06-27 23:00:00,75.229,75.288,75.16,75.235,,
2011-06-28 03:00:00,75.234,75.415,75.226,75.399,,
2011-06-28 07:00:00,75.401,75.501,75.171,75.39,,
2011-06-28 11:00:00,75.389,75.513,74.867,75.02,,
2011-06-28 15:00:00,75.024,75.157,74.963,75.063,,
2011-06-28 19:00:00,75.064,75.112,75.003,75.03,,
2011-06-28 23:00:00,75.046,75.136,75.037,75.093,,
2011-06-29 03:00:00,75.091,75.1,74.912,74.942,,
2011-06-29 07:00:00,74.941,74.972,74.735,74.782,,
2011-06-29 11:00:00,74.789,75.056,74.651,74.808,,
2011-06-29 15:00:00,74.809,74.822,74.616,74.693,,
2011-06-29 19:00:00,74.691,74.717,74.609,74.652,,
2011-06-29 23:00:00,74.483,74.543,74.341,74.35,,
2011-06-30 03:00:00,74.34,74.412,74.262,74.363,,
2011-06-30 07:00:00,74.368,74.528,74.255,74.477,,
2011-06-30 11:00:00,74.476,74.581,74.388,74.418,,
2011-06-30 15:00:00,74.425,74.438,74.261,74.303,,
2011-06-30 19:00:00,74.299,74.435,74.296,74.379,,
