datetime,open,high,low,close,volume,Volume MA
2018-04-13 06:00:00,1338.28,1341.91,1336.0,1340.48,190463.0,193085.1
2018-04-13 10:00:00,1340.49,1344.058,1332.78,1343.69,251761.0,197912.65
2018-04-13 14:00:00,1343.69,1347.2,1342.7,1343.58,294195.0,202912.45
2018-04-13 18:00:00,1343.6,1346.925,1343.3,1345.75,112712.0,195312.2
2018-04-15 22:00:00,1346.49,1348.71,1339.9,1347.1,140814.0,188286.3
2018-04-16 02:00:00,1347.283,1348.5,1343.5,1344.26,109766.0,188155.0
2018-04-16 06:00:00,1344.19,1345.9,1341.02,1343.97,199576.0,192612.35
2018-04-16 10:00:00,1344.095,1349.0,1342.0,1348.48,242130.0,200677.6
2018-04-16 14:00:00,1348.48,1350.7,1346.0,1347.35,238059.0,203796.6
2018-04-16 18:00:00,1347.4,1348.046,1345.1,1345.6,80277.0,191171.8
2018-04-16 22:00:00,1346.0,1349.384,1345.4,1347.479,88851.0,176360.9
2018-04-17 02:00:00,1347.466,1347.756,1343.6,1345.95,98796.0,172670.65
2018-04-17 06:00:00,1345.94,1348.87,1340.64,1342.09,202408.0,177456.9
2018-04-17 10:00:00,1342.08,1343.936,1337.3,1342.12,234042.0,182762.05
2018-04-17 14:00:00,1342.13,1347.334,1340.32,1346.2,257970.0,184317.5
2018-04-17 18:00:00,1346.22,1347.8,1345.8,1347.1,89593.0,172232.75
2018-04-17 22:00:00,1347.31,1347.61,1343.4,1343.93,94758.0,161766.4
2018-04-18 02:00:00,1343.79,1344.786,1342.0,1343.16,81659.0,160450.9
2018-04-18 06:00:00,1343.12,1347.2,1342.67,1345.13,222109.0,166220.55
2018-04-18 10:00:00,1345.131,1355.9,1344.92,1351.94,282726.0,175633.25
2018-04-18 14:00:00,1351.973,1354.3,1348.9,1350.5,289854.0,180602.8
2018-04-18 18:00:00,1350.49,1351.316,1347.3,1349.1,92172.0,172623.35
2018-04-18 22:00:00,1349.16,1351.47,1347.7,1348.816,99609.0,162894.05
2018-04-19 02:00:00,1348.7,1353.026,1348.1,1351.706,110721.0,162794.5
2018-04-19 06:00:00,1351.64,1354.8,1344.56,1348.56,219629.0,166735.25
2018-04-19 10:00:00,1348.642,1350.75,1345.57,1348.16,291794.0,175836.65
2018-04-19 14:00:00,1348.16,1349.02,1340.8,1346.28,317633.0,181739.5
2018-04-19 18:00:00,1346.36,1346.679,1343.9,1345.5,96965.0,174481.25
2018-04-19 22:00:00,1345.586,1346.286,1341.3,1342.39,104443.0,167800.45
2018-04-20 02:00:00,1342.38,1343.558,1341.0,1342.996,86485.0,168110.85
2018-04-20 06:00:00,1342.976,1344.5,1339.17,1340.52,194728.0,173404.7
2018-04-20 10:00:00,1340.5,1344.3,1335.7,1336.6,230744.0,180002.1
2018-04-20 14:00:00,1336.6,1339.265,1334.7,1336.89,257075.0,182735.45
2018-04-20 18:00:00,1336.9,1337.306,1334.31,1335.52,72661.0,174666.4
2018-04-22 22:00:00,1333.88,1335.436,1331.26,1334.489,114663.0,167501.05
