datetime,open,high,low,close
2021-12-01 02:15:00,96.022,96.032,95.992,96.01
2021-12-01 02:30:00,96.013,96.041,95.996,95.998
2021-12-01 02:45:00,95.998,96.012,95.992,96.0
2021-12-01 03:00:00,96.003,96.004,95.96,95.962
2021-12-01 03:15:00,95.965,95.968,95.944,95.963
2021-12-01 03:30:00,95.967,95.967,95.933,95.933
2021-12-01 03:45:00,95.937,95.955,95.929,95.953
2021-12-01 04:00:00,95.957,95.971,95.952,95.955
2021-12-01 04:15:00,95.957,95.957,95.929,95.944
2021-12-01 04:30:00,95.944,95.954,95.93,95.941
2021-12-01 04:45:00,95.943,95.953,95.929,95.929
2021-12-01 05:00:00,95.933,95.933,95.907,95.918
2021-12-01 05:15:00,95.922,95.937,95.915,95.935
2021-12-01 05:30:00,95.938,95.95,95.91,95.91
2021-12-01 05:45:00,95.914,95.914,95.889,95.89
2021-12-01 06:00:00,95.893,95.912,95.883,95.902
2021-12-01 06:15:00,95.906,95.934,95.903,95.916
2021-12-01 06:30:00,95.915,95.929,95.901,95.915
2021-12-01 06:45:00,95.918,95.943,95.894,95.927
2021-12-01 07:00:00,95.927,95.955,95.89,95.955
2021-12-01 07:15:00,95.957,95.987,95.943,95.958
2021-12-01 07:30:00,95.963,95.993,95.942,95.975
2021-12-01 07:45:00,95.976,96.015,95.881,95.886
2021-12-01 08:00:00,95.89,95.907,95.784,95.9
2021-12-01 08:15:00,95.904,96.029,95.891,96.024
2021-12-01 08:30:00,96.028,96.113,96.02,96.107
2021-12-01 08:45:00,96.111,96.136,96.084,96.105
2021-12-01 09:00:00,96.108,96.108,96.01,96.034
2021-12-01 09:15:00,96.037,96.037,95.936,95.94
2021-12-01 09:30:00,95.945,95.986,95.932,95.962
2021-12-01 09:45:00,95.962,95.981,95.938,95.97
2021-12-01 10:00:00,95.973,95.973,95.878,95.907
2021-12-01 10:15:00,95.911,95.981,95.895,95.972
2021-12-01 10:30:00,95.976,96.012,95.952,96.001
2021-12-01 10:45:00,96.004,96.024,95.956,95.965
2021-12-01 11:00:00,95.969,95.969,95.921,95.942
2021-12-01 11:15:00,95.945,95.948,95.914,95.936
2021-12-01 11:30:00,95.939,95.961,95.923,95.939
2021-12-01 11:45:00,95.942,95.99,95.935,95.979
2021-12-01 12:00:00,95.983,95.996,95.957,95.987
2021-12-01 12:15:00,95.991,96.021,95.975,95.99
2021-12-01 12:30:00,95.988,95.99,95.96,95.973
2021-12-01 12:45:00,95.974,96.045,95.97,96.044
2021-12-01 13:00:00,96.047,96.047,96.015,96.041
2021-12-01 13:15:00,96.04,96.055,95.939,95.945
2021-12-01 13:30:00,95.948,95.949,95.874,95.876
2021-12-01 13:45:00,95.879,95.936,95.838,95.848
2021-12-01 14:00:00,95.851,95.852,95.818,95.844
2021-12-01 14:15:00,95.847,95.847,95.785,95.807
2021-12-01 14:30:00,95.811,95.828,95.764,95.77
2021-12-01 14:45:00,95.774,95.796,95.67,95.67
2021-12-01 15:00:00,95.673,95.805,95.67,95.803
2021-12-01 15:15:00,95.803,95.857,95.796,95.809
2021-12-01 15:30:00,95.812,95.825,95.76,95.814
2021-12-01 15:45:00,95.818,95.888,95.803,95.885
2021-12-01 16:00:00,95.888,95.952,95.878,95.906
2021-12-01 16:15:00,95.91,95.954,95.887,95.9
2021-12-01 16:30:00,95.903,95.95,95.877,95.948
2021-12-01 16:45:00,95.951,95.971,95.929,95.943
2021-12-01 17:00:00,95.947,96.008,95.944,95.981
2021-12-01 17:15:00,95.98,95.994,95.949,95.954
2021-12-01 17:30:00,95.958,96.003,95.949,95.977
2021-12-01 17:45:00,95.98,95.98,95.929,95.96
2021-12-01 18:00:00,95.966,95.989,95.945,95.977
2021-12-01 18:15:00,95.98,95.988,95.967,95.971
2021-12-01 18:30:00,95.975,96.018,95.967,96.001
2021-12-01 18:45:00,96.004,96.005,95.953,95.955
2021-12-01 19:00:00,95.958,96.034,95.942,96.032
2021-12-01 19:15:00,96.036,96.048,96.018,96.035
2021-12-01 19:30:00,96.035,96.039,96.022,96.033
2021-12-01 19:45:00,96.037,96.04,95.992,96.028
2021-12-01 20:00:00,96.033,96.092,96.028,96.065
